playerId,displayName,overrideValue,looksAbbreviated,knownNames
c3d35165,JA Morkel,,yes,JA Morkel
1ee08e9a,JA Richardson,,yes,JA Richardson
249abedf,Jalaj S Saxena,,yes,Jalaj S Saxena
91ffa6c6,JD Ryder,,yes,JD Ryder
1e66c162,JD Unadkat,,yes,JD Unadkat
3eac9d95,JDP Oram,,yes,JDP Oram
9219eff0,JDS Neesham,,yes,JDS Neesham
a343262c,JE Root,,yes,JE Root
4180d897,JE Taylor,,yes,JE Taylor
cf73ad76,JEC Franklin,,yes,JEC Franklin
3c55c703,JG Bethell,,yes,JG Bethell
86dc8f2e,JH Kallis,,yes,JH Kallis
d1c36f5c,JJ Roy,,yes,JJ Roy
6821ac10,JJ van der Wath,,yes,JJ van der Wath
bdadf7da,JL Denly,,yes,JL Denly
f752db61,JL Pattinson,,yes,JL Pattinson
6581d753,JM Kemp,,yes,JM Kemp
4933f499,JP Behrendorff,,yes,JP Behrendorff
2e8994e7,JP Duminy,,yes,JP Duminy
808f425a,JP Faulkner,,yes,JP Faulkner
99ed60f8,JPR Scantlebury-Searles,,yes,JPR Scantlebury-Searles
2498e163,JR Hopes,,yes,JR Hopes
39086549,JR Philippe,,yes,JR Philippe
012829ff,JW Hastings,,yes,JW Hastings
a1f1829d,K Goel,,yes,K Goel
90de905a,K Gowtham,,yes,K Gowtham
f6d8a7ab,K Kartikeya,,yes,K Kartikeya
fa2f1dde,K Khejroliya,,yes,K Khejroliya
531f0278,K Santokie,,yes,K Santokie
27e71d47,K Upadhyay,,yes,K Upadhyay
030f3089,K Yadav,,yes,K Yadav
68c56d09,KA Jamieson,,yes,KA Jamieson
0b60eb09,KA Maharaj,,yes,KA Maharaj
a757b0d8,KA Pollard,,yes,KA Pollard
78eb4223,KAJ Roach,,yes,KAJ Roach
7daedf2f,KB Arun Karthik,,yes,KB Arun Karthik
edb3d4f8,KC Cariappa,,yes,KC Cariappa
6b71e6cf,KC Sangakkara,,yes,KC Sangakkara
62e07f92,KH Devdhar,,yes,KH Devdhar
a9da7784,KJ Abbott,,yes,KJ Abbott
557153ca,KK Cooper,,yes,KK Cooper
b4f5c2d9,KL Nagarkoti,,yes,KL Nagarkoti
b17e2f24,KL Rahul,KL Rahul,yes,KL Rahul
798cc28e,KM Asif,,yes,KM Asif
99d63244,KM Jadhav,,yes,KM Jadhav
75224f22,KMA Paul,,yes,KMA Paul
469ea22b,KMDN Kulasekara,,yes,KMDN Kulasekara
d92e42f5,KP Appanna,,yes,KP Appanna
39f01cdb,KP Pietersen,,yes,KP Pietersen
73c18486,KR Mayers,,yes,KR Mayers
2e78f685,KR Sen,,yes,KR Sen
44a89551,KS Bharat,,yes,KS Bharat
e3851766,KS Rathore,,yes,KS Rathore
39ed0d2f,KS Sharma,,yes,KS Sharma
d027ba9f,KS Williamson,,yes,KS Williamson
107c26fb,KT Maphaka,,yes,KT Maphaka
119678fd,KV Sharma,,yes,KV Sharma
dfc4d8b5,KW Richardson,,yes,KW Richardson
8b9704ae,L Ablish,,yes,L Ablish
b2b50355,L Balaji,,yes,L Balaji
f834dcfc,L Ngidi,,yes,L Ngidi
0fa5042b,L Ronchi,,yes,L Ronchi
65b6943c,L Wood,,yes,L Wood
d872f52a,LA Carseldine,,yes,LA Carseldine
b63ab531,LA Pomersbach,,yes,LA Pomersbach
a1d95bd8,LB Williams,,yes,LB Williams
9a963804,LE Plunkett,,yes,LE Plunkett
d3611425,LI Meriwala,,yes,LI Meriwala
